127.0.0.1 - - [04/Sep/2015:15:37:49 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:37:51 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:37:52 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:37:52 -0500] "GET /Meerkat_0.0/mes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:01 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:02 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:03 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:03 -0500] "GET /Meerkat_0.0/consultarproductosvista/consultarproductos.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:03 -0500] "GET /Meerkat_0.0/consultarproductosvista/fondo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/coca.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/colombiana.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/jugo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/pilsen.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/guaro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/club.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/ron-mde.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/picad.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:04 -0500] "GET /Meerkat_0.0/images/editadas/mondongo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/desayunopaisa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/pescado.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/bandejapaisa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/carne_asada.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/hamburguesa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/sancocho.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/arrozpollo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:05 -0500] "GET /Meerkat_0.0/images/editadas/chuzo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:22 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:22 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
